
88,8.3,Chinatown (1974),"147,914",Roman Polanski
89,8.3,Rashomon (1950),"69,011",Akira Kurosawa
90,8.3,Some Like It Hot (1959),"120,126",Billy Wilder
91,8.3,Bicycle Thieves (1948),"57,490",Vittorio De Sica
92,8.3,All About Eve (1950),"57,417",Joseph L. Mankiewicz
93,8.3,Monty Python and the Holy Grail (1975),"265,075",Terry Gilliam & Terry Jones
94,8.3,Princess Mononoke (1997),"135,618",Hayao Miyazaki
95,8.3,Amadeus (1984),"183,169",Milos Forman
96,8.3,2001: A Space Odyssey (1968),"275,055",Stanley Kubrick
97,8.3,Witness for the Prosecution (1957),"36,241",Billy Wilder
98,8.3,The Apartment (1960),"70,921",Billy Wilder
99,8.3,The Sting (1973),"117,819",George Roy Hill
100,8.3,Unforgiven (1992),"190,549",Clint Eastwood
101,8.3,Grave of the Fireflies (1988),"75,713",Isao Takahata
102,8.3,Indiana Jones and the Last Crusade (1989),"336,055",Steven Spielberg
103,8.3,Raging Bull (1980),"160,636",Martin Scorsese
104,8.3,The Bridge on the River Kwai (1957),"102,421",David Lean
105,8.3,Die Hard (1988),"395,178",John McTiernan
106,8.3,Yojimbo (1961),"49,855",Akira Kurosawa
107,8.3,Batman Begins (2005),"604,923",Christopher Nolan
108,8.3,A Separation (2011),"93,088",Asghar Farhadi
109,8.2,Inglourious Basterds (2009),"505,702",Quentin Tarantino
110,8.2,For a Few Dollars More (1965),"94,509",Sergio Leone
111,8.2,Mr. Smith Goes to Washington (1939),"54,505",Frank Capra
112,8.2,Snatch. (2000),"392,241",Guy Ritchie
113,8.2,Toy Story (1995),"369,869",John Lasseter
114,8.2,On the Waterfront (1954),"68,966",Elia Kazan
115,8.2,The Great Escape (1963),"110,551",John Sturges
116,8.2,Downfall (2004),"168,689",Oliver Hirschbiegel
117,8.2,Pan's Labyrinth (2006),"313,115",Guillermo del Toro
118,8.2,Up (2009),"377,485",Pete Docter
119,8.2,The General (1926),"34,819",Buster Keaton
120,8.2,The Seventh Seal (1957),"74,369",Ingmar Bergman
121,8.2,Heat (1995),"297,114",Michael Mann
122,8.2,The Elephant Man (1980),"111,071",David Lynch
123,8.2,The Maltese Falcon (1941),"81,135",John Huston
124,8.2,The Kid (1921),"35,316",Charlie Chaplin
125,8.2,Blade Runner (1982),"326,683",Ridley Scott
126,8.2,Wild Strawberries (1957),"41,744",Ingmar Bergman
127,8.2,Rebecca (1940),"61,069",Alfred Hitchcock
128,8.2,Scarface (1983),"344,351",Brian De Palma
129,8.2,Ikiru (1952),"27,215",Akira Kurosawa
130,8.2,Ran (1985),"55,197",Akira Kurosawa
131,8.2,Fargo (1996),"285,542",Joel Coen & Ethan Coen
132,8.2,Gran Torino (2008),"367,352",Clint Eastwood
133,8.2,Touch of Evil (1958),"52,508",Orson Welles
134,8.2,The Big Lebowski (1998),"348,568",Joel Coen & Ethan Coen
135,8.2,The Gold Rush (1925),"41,458",Charlie Chaplin
136,8.2,The Deer Hunter (1978),"161,747",Michael Cimino
